epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.22424,1.66538,3.38704,1.46258,0.0325,0.46429,0.04972,0.02642,1.15782,3.06564,1.18383,0.0982,0.0002,0.0002
2,18.1629,1.28698,2.7579,1.19387,0.0325,0.46429,0.1963,0.0882,1.33904,2.64506,1.17603,0.0954967,0.0004967,0.0004967
3,28.4215,1.30269,1.88665,1.13419,0.33324,0.19031,0.25124,0.11968,1.19875,2.28782,1.12873,0.0927894,0.00078944,0.00078944
4,38.0236,1.28563,1.77329,1.16281,0.71163,0.26648,0.31626,0.17309,1.4703,2.14678,1.35913,0.0900782,0.00107822,0.00107822
5,46.7661,1.24685,1.53083,1.13225,0.72407,0.26103,0.30698,0.20992,1.39147,2.15383,1.36055,0.087363,0.00136304,0.00136304
6,55.5073,1.18991,1.63768,1.148,0.25195,0.58576,0.42,0.28098,1.26398,2.28565,1.3712,0.0846439,0.0016439,0.0016439
7,65.1096,1.10713,1.32104,1.11022,0.30432,0.52106,0.38911,0.2359,1.36752,2.64719,1.46106,0.0819208,0.0019208,0.0019208
8,74.0544,0.9882,1.37494,1.08081,0.36455,0.40339,0.37849,0.23494,1.41345,2.9287,1.4939,0.0791937,0.00219374,0.00219374
9,83.0396,1.05714,1.3027,1.0975,0.31478,0.40842,0.39695,0.25318,1.2821,3.38329,1.42278,0.0764627,0.00246272,0.00246272
10,91.8293,1.07387,1.31055,1.07998,0.31338,0.4478,0.35206,0.23162,1.33237,5.67231,1.48974,0.0737277,0.00272774,0.00272774
11,100.503,1.00734,1.24074,1.07034,0.13105,0.41896,0.23035,0.14097,1.39465,8.93205,1.66558,0.0709888,0.0029888,0.0029888
12,108.953,0.98084,1.21173,1.06135,0.1035,0.34936,0.22864,0.1323,1.4201,9.83758,1.72402,0.0682459,0.0032459,0.0032459
13,117.629,1.01561,1.13679,1.0473,0.30055,0.35714,0.29286,0.18945,1.36983,6.9936,1.56629,0.065499,0.00349904,0.00349904
14,127.737,0.96513,1.1021,1.04102,0.52081,0.51145,0.49925,0.32721,1.35856,2.87467,1.60329,0.0627482,0.00374822,0.00374822
15,136.561,0.95765,1.12662,1.04128,0.52081,0.51145,0.49925,0.32721,1.35856,2.87467,1.60329,0.0599934,0.00399344,0.00399344
16,145.639,0.97616,1.08471,1.08106,0.61554,0.47846,0.5018,0.34339,1.45955,2.32448,1.73313,0.0572347,0.0042347,0.0042347
17,154.083,1.03344,1.09224,1.07804,0.75343,0.44826,0.53856,0.37002,1.37383,2.18552,1.6495,0.054472,0.004472,0.004472
18,162.948,0.94074,1.1159,1.0867,0.75343,0.44826,0.53856,0.37002,1.37383,2.18552,1.6495,0.0517053,0.00470534,0.00470534
19,170.915,1.03202,1.05202,1.05865,0.38252,0.38782,0.32225,0.23406,1.39581,3.93368,1.58593,0.0489347,0.00493472,0.00493472
20,178.731,0.96162,0.99422,1.01783,0.34251,0.34799,0.26183,0.18203,1.38401,4.70982,1.47952,0.0461601,0.00516014,0.00516014
21,186.508,0.99315,1.08766,1.06961,0.34251,0.34799,0.26183,0.18203,1.38401,4.70982,1.47952,0.0433816,0.0053816,0.0053816
22,194.176,0.96197,1.01083,1.04118,0.32216,0.337,0.25136,0.19299,1.39264,8.45308,1.47783,0.0405991,0.0055991,0.0055991
23,202,1.04198,1.08953,1.0784,0.32216,0.337,0.25136,0.19299,1.39264,8.45308,1.47783,0.0378126,0.00581264,0.00581264
24,211.024,0.94756,0.98225,1.03572,0.342,0.40751,0.23975,0.17518,1.40123,10.7698,1.48481,0.0350222,0.00602222,0.00602222
25,218.976,0.97472,0.98497,1.02721,0.342,0.40751,0.23975,0.17518,1.40123,10.7698,1.48481,0.0322278,0.00622784,0.00622784
26,226.39,0.89452,0.96876,1.04714,0.37709,0.48397,0.23232,0.17266,1.40292,16.0018,1.38728,0.0294295,0.0064295,0.0064295
27,233.706,0.90237,1.03164,1.04769,0.37709,0.48397,0.23232,0.17266,1.40292,16.0018,1.38728,0.0266272,0.0066272,0.0066272
